NNDSS_-_TABLE_1W._Meningococcal_disease__All_serogroups_to_Meningococcal_disease__Serogroup_B
Reporting Area,MMWR Year,MMWR Week,"Meningococcal disease, All serogroups, Current week","Meningococcal disease, All serogroups, Current week, flag","Meningococcal disease, All serogroups, Previous 52 weeks Max†","Meningococcal disease, All serogroups, Previous 52 weeks Max†, flag","Meningococcal disease, All serogroups, Cum 2022†","Meningococcal disease, All serogroups, Cum 2022†, flag","Meningococcal disease, All serogroups, Cum 2021†","Meningococcal disease, All serogroups, Cum 2021†, flag","Meningococcal disease, Serogroups ACWY, Current week","Meningococcal disease, Serogroups ACWY, Current week, flag","Meningococcal disease, Serogroups ACWY, Previous 52 weeks Max†","Meningococcal disease, Serogroups ACWY, Previous 52 weeks Max†, flag","Meningococcal disease, Serogroups ACWY, Cum 2022†","Meningococcal disease, Serogroups ACWY, Cum 2022†, flag","Meningococcal disease, Serogroups ACWY, Cum 2021†","Meningococcal disease, Serogroups ACWY, Cum 2021†, flag","Meningococcal disease, Serogroup B, Current week","Meningococcal disease, Serogroup B, Current week, flag","Meningococcal disease, Serogroup B, Previous 52 weeks Max†","Meningococcal disease, Serogroup B, Previous 52 weeks Max†, flag","Meningococcal disease, Serogroup B, Cum 2022†","Meningococcal disease, Serogroup B, Cum 2022†, flag","Meningococcal disease, Serogroup B, Cum 2021†","Meningococcal disease, Serogroup B, Cum 2021†, flag",Location 1,Location 2,Reporting Area Sort,geocode
US TERRITORIES,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,202200163,
TOTAL,2022,1,1,,8,,1,,2,,,-,4,,,-,,-,,-,2,,,-,,-,,TOTAL,202200170,
WEST SOUTH CENTRAL,2022,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,202200143,
ILLINOIS,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,ILLINOIS,,202200115,POINT (-89.148632 40.124144)
SOUTH DAKOTA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,202200127,POINT (-100.230491 44.43614)
KENTUCKY,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,202200140,POINT (-85.290484 37.526683)
NEW JERSEY,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,202200110,POINT (-74.655514 40.110253)
SOUTH ATLANTIC,2022,1,,-,4,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC,202200128,
NEW MEXICO,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,202200154,POINT (-106.108388 34.421369)
GEORGIA,2022,1,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,202200132,POINT (-83.426574 32.638481)
DISTRICT OF COLUMBIA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,202200130,POINT (-77.016275 38.904785)
ALABAMA,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,202200139,POINT (-86.844516 32.756889)
ARIZONA,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,202200149,POINT (-111.664616 34.293239)
WYOMING,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,202200156,POINT (-107.55145 42.999627)
MARYLAND,2022,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,202200133,POINT (-76.687282 38.946466)
WEST VIRGINIA,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,202200137,POINT (-80.613729 38.642579)
US RESIDENTS,2022,1,1,,8,,1,,2,,,-,4,,,-,,-,,-,2,,,-,,-,,US RESIDENTS,202200101,
NEBRASKA,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NEBRASKA,,202200125,POINT (-99.810595 41.527099)
CALIFORNIA,2022,1,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,202200159,POINT (-119.662127 37.211164)
CONNECTICUT,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,202200103,POINT (-72.738288 41.575155)
PENNSYLVANIA,2022,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,202200113,POINT (-77.838886 40.896694)
KANSAS,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,202200122,POINT (-98.38018 38.484729)
OHIO,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,OHIO,,202200118,POINT (-82.70936 40.415534)
MASSACHUSETTS,2022,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,MASSACHUSETTS,,202200105,POINT (-71.481104 42.151077)
NEVADA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,202200153,POINT (-114.916992 39.283294)
NEW YORK CITY,2022,1,1,,2,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK CITY,,202200112,
NEVADA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,202200253,POINT (-114.916992 39.283294)
MIDDLE ATLANTIC,2022,2,,-,4,,2,,,-,,-,1,,,-,,-,,-,1,,,-,,-,,MIDDLE ATLANTIC,202200209,
ALASKA,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,202200158,POINT (-151.631889 63.631126)
VERMONT,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,202200108,POINT (-72.662695 44.075252)
NEW HAMPSHIRE,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,202200106,POINT (-71.57139 43.680429)
NORTHERN MARIANA ISLANDS,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200165,POINT (145.725693 15.1834)
MINNESOTA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,202200123,POINT (-94.198308 46.349153)
VIRGINIA,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,202200136,POINT (-78.666382 37.510861)
WEST NORTH CENTRAL,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,202200120,
RHODE ISLAND,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,202200107,POINT (-71.534637 41.572574)
NORTH CAROLINA,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,202200134,POINT (-79.130883 35.52603)
MAINE,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,202200104,POINT (-69.06137 45.117911)
MIDDLE ATLANTIC,2022,1,1,,4,,1,,,-,,-,1,,,-,,-,,-,1,,,-,,-,,MIDDLE ATLANTIC,202200109,
