Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,Animal Type Specify,Water Status
2015,1,Ohio,Food,Norovirus Genogroup II,GII.6,Confirmed,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2015,1,Virginia,Food,,,,Restaurant - Sit-down dining; Private home/residence,20,0,5,0,5,,,,,,,,
2015,1,Ohio,Food,Norovirus Genogroup II,GII.6,Confirmed,Restaurant - Sit-down dining,15,1,9,0,9,,,,,,,,
2015,1,Ohio,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2015,1,Minnesota,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,7,0,7,0,7,,,,,,,,
2015,1,Florida,Food,,,,Caterer (food prepared off-site from where served); Grocery store,9,0,9,0,9,"beef, stew",,Multiple,,,,,
2015,1,Virginia,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant - Sit-down dining,9,1,9,0,9,"fried rice, unspecified",,Multiple,,,,,
2015,1,Florida,Food,Norovirus Genogroup II,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0,4,0,4,,,,,,,,
2015,1,Ohio,Food,Staphylococcus unknown,,Confirmed,Restaurant - Sit-down dining,5,0,0,0,0,alfredo sauce,,Multiple,,,,,
2015,1,Connecticut,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant - Sit-down dining,18,0,18,0,18,mimosa,,Other,,,,,
2015,1,Minnesota,Food,Norovirus Genogroup II,GII.6,Confirmed,Restaurant - Buffet,4,0,4,0,4,"chicken; banana, unspecified",chicken; banana,Multiple,,,,,
2015,1,Florida,Food,Norovirus,,Suspected,Grocery store,5,0,5,0,5,cake,,Multiple,,,,,
2015,1,Kansas,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Other,61,7,56,1,61,,,,,,,,
2015,1,Texas,Food,,,,,2,0,2,0,2,ginger,apple; collard greens; kale; pineapple,Multiple,,,,,
2015,1,Rhode Island,Food,Staphylococcus aureus,,Suspected,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2015,1,Ohio,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant - Sit-down dining,21,0,14,0,14,,,,,,,,
2015,1,Florida,Food,,,,Restaurant - Sit-down dining,4,0,3,0,3,mushroom and swiss hamburger sandwich,bread; ground beef; mushrooms; swiss cheese,Multiple,,,,,
2015,1,Florida,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant - Sit-down dining,6,0,6,0,6,,,,,,,,
2015,1,Minnesota,Food,Norovirus,,Confirmed,Other,10,0,5,0,10,,,,,,,,
2015,1,Iowa,Food,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),11,2,11,0,11,,,,,,,,
2015,1,Wisconsin,Food,Clostridium perfringens,,Suspected,Banquet Facility (food prepared and served on-site),58,0,58,0,58,shredded chicken,,Chicken,,,,,
2015,1,Florida,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,"tortilla chips; salsa, unspecified; enchiladas",,Multiple,,,,,
2015,1,Virginia,Food,,,,Banquet Facility (food prepared and served on-site),20,0,15,0,15,,,,,,,,
2015,1,Ohio,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2015,1,Minnesota,Food,Other,,Suspected,Restaurant - Sit-down dining,7,0,7,0,7,"french fries; spinach artichoke dip; quesadilla, chicken",other cheese; other cheese; other cheese,Dairy,,,,,
2015,1,South Carolina,Food,Norovirus Genogroup II,,Suspected,Caterer (food prepared off-site from where served),77,0,77,0,77,,,,,,,,
2015,1,Ohio,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant - Sit-down dining,28,0,28,0,28,,,,,,,,
2015,2,Minnesota,Food,Norovirus Genogroup II,,Confirmed,Banquet Facility (food prepared and served on-site),30,0,30,0,30,,,,,,,,
2015,1,Virginia,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,53,8,49,0,0,,,,,,,,
2015,1,Hawaii,Food,Other,,Suspected,Other,2,0,2,0,2,walu fish,,Fish,,,,,
2015,1,Texas,Food,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type,48,0,22,0,48,,,,,,,,
2015,2,Ohio,Food,Norovirus,,Suspected,Private home/residence,15,0,5,0,15,chipped beef and onion cheese ball,,Multiple,,,,,
2015,2,Virginia,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant - Sit-down dining,13,1,13,0,13,,,,,,,,
2015,1,Texas,Food,,,,Caterer (food prepared off-site from where served),10,0,9,0,9,,,,,,,,
2015,2,New York,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,6,0,6,0,6,,,,,,,,
2015,2,Ohio,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2015,2,New York,Food,,,,Restaurant - Sit-down dining,4,0,4,0,4,pizza,,Multiple,,,,,
2015,2,New York,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,beef,,Beef,,,,,
2015,1,Florida,Food,,,,Restaurant - Sit-down dining,4,0,4,0,4,ice,ice,Other,,,,,
2015,2,Tennessee,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant - Sit-down dining,8,0,8,0,8,,,,,,,,
2015,2,Iowa,Food,Norovirus unknown,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",8,,,0,8,,,,,,,,
2015,2,Iowa,Food,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2015,2,Virginia,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Private home/residence,21,1,19,0,21,"peas, green",,Seeded Vegetables,,,,,
2015,2,Virginia,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2015,2,Ohio,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0,0,0,0,,,,,,,,
2015,2,Ohio,Food,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Caterer (food prepared off-site from where served),28,1,27,0,27,,,,,,,,
2015,2,Connecticut,Food,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),20,0,20,0,20,salad,,Multiple,,,,,
2015,1,Illinois,Food,Norovirus Genogroup II,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0,,0,,,,,,,,,
2015,2,Illinois,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",11,0,,0,,,,,,,,,
