STATEFP,NAME,STUSPS,YEAR,MONTH,RATE
1,Alabama,AL,2016,January,2.888904296
1,Alabama,AL,2016,February,4.044466015
1,Alabama,AL,2016,March,6.355589452
1,Alabama,AL,2016,April,4.044466015
1,Alabama,AL,2016,May,5.777808593
1,Alabama,AL,2016,June,6.933370311
1,Alabama,AL,2016,July,6.933370311
1,Alabama,AL,2016,August,4.044466015
1,Alabama,AL,2016,September,5.200027733
1,Alabama,AL,2016,October,3.466685156
1,Alabama,AL,2016,November,5.777808593
1,Alabama,AL,2016,December,4.044466015
1,Alabama,AL,2017,January,7.609770946
1,Alabama,AL,2017,February,4.682935967
1,Alabama,AL,2017,March,4.097568971
1,Alabama,AL,2017,April,9.365871933
1,Alabama,AL,2017,May,3.512201975
1,Alabama,AL,2017,June,2.926834979
1,Alabama,AL,2017,July,NA
1,Alabama,AL,2017,August,2.341467983
1,Alabama,AL,2017,September,NA
1,Alabama,AL,2017,October,1.756100988
1,Alabama,AL,2017,November,2.341467983
1,Alabama,AL,2017,December,NA
1,Alabama,AL,2018,January,NA
1,Alabama,AL,2018,February,NA
1,Alabama,AL,2018,March,1.657879903
1,Alabama,AL,2018,April,2.210506538
1,Alabama,AL,2018,May,3.868386441
1,Alabama,AL,2018,June,2.210506538
1,Alabama,AL,2018,July,2.763133172
1,Alabama,AL,2018,August,2.763133172
1,Alabama,AL,2018,September,NA
1,Alabama,AL,2018,October,NA
1,Alabama,AL,2018,November,NA
1,Alabama,AL,2018,December,1.657879903
1,Alabama,AL,2019,January,1.988101214
1,Alabama,AL,2019,February,NA
1,Alabama,AL,2019,March,NA
1,Alabama,AL,2019,April,1.491075911
1,Alabama,AL,2019,May,NA
1,Alabama,AL,2019,June,NA
1,Alabama,AL,2019,July,NA
1,Alabama,AL,2019,August,1.988101214
1,Alabama,AL,2019,September,2.982151821
1,Alabama,AL,2019,October,NA
1,Alabama,AL,2019,November,NA
1,Alabama,AL,2019,December,1.988101214
1,Alabama,AL,2020,January,0.612000098
1,Alabama,AL,2020,February,NA
1,Alabama,AL,2020,March,NA
1,Alabama,AL,2020,April,1.020000163
1,Alabama,AL,2020,May,1.632000261
1,Alabama,AL,2020,June,1.428000228
1,Alabama,AL,2020,July,1.632000261
1,Alabama,AL,2020,August,1.428000228
1,Alabama,AL,2020,September,0.612000098
1,Alabama,AL,2020,October,1.428000228
1,Alabama,AL,2020,November,NA
1,Alabama,AL,2020,December,0.612000098
1,Alabama,AL,2021,January,0.989057073
1,Alabama,AL,2021,February,NA
